PROPERTY_NUMBER_ID,PROPERTY_CATEGORY,PREFECTURE,CITY,NEAREST_TRAIN_LINE,NEAREST_STATION,DISTANCE_TO_NEAREST_STATION_ON_FOOT,AMOUNT/RENT,DATE_OF_CONSTRUCTION,CONSTRUCTION,OCCUPATION_AREA,TOTAL_NUMBER_OF_UNITS,LAYOUT,SIZE_OF_LOT,SIZE_OF_LOT_MEASUREMENT_METHOD,LAND_CATEGORY,CITY_PLANNING_AREA,USE_DISTRICT,LAND_OWNERSHIP,PRIVATE_ROAD,SETBACK,NUMBER_OF_CONNECTED_ROADS,STRONG_POINTS,WATER_SUPPLY,GUS_SUPPLY,DRAINAGE,PLACE_OF_WASHER,BATH,TOILET,TOILET_NOTE,STOVE_HEATING_SYSTEM,GARDEN,PARKING,FOR_OFFICE_USE,INTERIOR_CUSTOMIZABILITY,DISTANCE_TO_ELEMENTARY_SCHOOL,DISTANCE_TO_JUNIOR_HIGH_SCHOOL,DISTANCE_TO_SUPERMARKET,DISTANCE_TO_SHOPPING_DISTRICT,DISTANCE_TO_DRUG_STORE,DISTANCE_TO_HOSPITAL,FLOOR_AREA_RATIO,BUILDING_COVERAGE_RATIO,FARMLAND,RETAIL_PREMISES
9006429,売買居住用,長崎県,平戸市,,,400,4800000,1965/1/1,木造,88.99,,5K,274.12,,,,,,無し,無し,指定なし,市街地周辺にある庭付きの木造一戸建て。,,,,,,,,,,空き有,1100,1700,500,1100,,1200,,,,,無し,無し
9006430,賃貸居住用,長崎県,平戸市,,,,30000,1974/1/1,木造,,,6DK,,,,,,,無し,無し,指定なし,賃貸物件！定期借家契約（３年）となります。,,プロパン,汲み取り式,,専用,専用,,,,空き有,900,900,,,,400,,,,,無し,無し
9006431,売買居住用,長崎県,平戸市,,,200,12000000,1995/1/1,木造,195.88,,6LDK,474.85,,,,,,無し,無し,指定なし,海と生月大橋の眺望が魅力的な住宅です！駐車場も広々です。隣接する土地も併せて売却希望です。,公営,プロパン,汲み取り式,室内,専用,専用,,,有り,空き有,1700,1400,1500,1500,,900,,,,,有り,無し
9006433,売買居住用,長崎県,平戸市,,,800,3500000,1983/1/1,木造,166.64,,7DK,774.9,,,,,,無し,無し,指定なし,海まで徒歩5分！家庭菜園ができる畑付きの物件です。隣接する土地も併せて売却希望です。,,プロパン,浄化槽,室内,専用,専用,,,有り,空き有,6300,7400,6900,6400,,7100,,,,,有り,無し
9006434,売買居住用,長崎県,平戸市,,,200,4000000,2003/1/1,木造,140.9,,5DK,376,,,,,,無し,無し,指定なし,福良漁港目の前！キッチン２つ・トイレ３つあり、二世帯向けの住宅です。,公営,プロパン,汲み取り式,室内,専用,専用,2つあり,,,空き有,500,12200,21800,10900,,20800,,,,,無し,無し
9006435,売買居住用,長崎県,平戸市,,,500,3000000,1956/1/1,木造,153.8,,6DK,387.59,,,,,,無し,無し,指定なし,部屋数が多い物件です。車庫付き！隣接する土地も併せて売却希望です。,,プロパン,浄化槽,室内,専用,専用,,,有り,空き有,1400,1100,2200,1500,,1300,,,,,有り,無し
9006436,売買居住用,長崎県,平戸市,,,200,1500000,1961/1/1,木造,241.43,,8K,212.48,,,,,,無し,無し,指定なし,海まで徒歩約１分！スーパーも徒歩圏内にあります。同敷地内に別棟もあります。,,,,,,,,,,無,500,2400,600,300,,2100,,,,,無し,無し
9006437,売買居住用,長崎県,平戸市,,,1200,13800000,2006/1/1,木造,129.74,,4LDK,621,,,,,,無し,無し,指定なし,植栽等がある庭付き平屋！庭からは海が見えます！,,,,,専用,専用,,,有り,空き有,3600,4300,2900,3900,,6000,,,,,無し,無し
9006438,売買居住用,長崎県,平戸市,,,200,1500000,1986/1/1,その他,143.04,,5DK,168.68,,,,,,無し,無し,指定なし,海まで徒歩2分！ファミリーマートまで400ｍの立地です。,,プロパン,浄化槽,,専用,専用,,,,無,600,2700,400,4300,,3500,,,,,無し,無し
9006439,売買居住用,長崎県,平戸市,松浦鉄道西九州線,たびら平戸口,300,5500000,1958/1/1,木造,204.35,,9K,336.12,,,,,,無し,無し,指定なし,たびら平戸口駅まで300メートル。レトロなお家。,,プロパン,,,専用,専用,,,,空き有,1100,2700,600,1200,,200,,,,,無し,無し
9006440,売買居住用,長崎県,平戸市,松浦鉄道西九州線,たびら平戸口,1200,2000000,1920/1/1,木造,82.11,,4DK,76.65,,,,,,無し,無し,指定なし,日当たり良好！釜田港目の前です。隣接する宅地も併せて売却希望です。詳しくはお問い合わせください。,,プロパン,汲み取り式,,専用,専用,,,,空き有,1500,2900,1200,2400,,1200,,,,,無し,無し
9006441,売買居住用,長崎県,平戸市,,,200,1000000,1977/1/1,木造,142.19,,7DK,132,,,,,,無し,無し,指定なし,部屋数の多い物件です。,公営,プロパン,汲み取り式,,専用,専用,,,,空き有,600,3000,1000,400,,2600,,,,,無し,無し
9006442,売買居住用,長崎県,平戸市,,,200,10000000,1990/1/1,その他,144.35,,4LDK,115.69,,,,,,無し,無し,指定なし,1階は鉄筋コンクリート造の一戸建住宅。スーパー等徒歩圏内です。,公営,プロパン,浄化槽,,専用,専用,,,,空き有,500,2400,600,300,,2000,,,,,無し,無し
9006443,売買居住用,長崎県,平戸市,,,200,2780000,1957/1/1,木造,125.61,,7K,131.25,,,,,,無し,無し,指定なし,市街地の閑静な住宅街にある物件です。,公営,プロパン,汲み取り式,,専用,専用,,,,無,500,1200,1000,900,,900,,,,,無し,無し
9006444,売買居住用,長崎県,平戸市,,,200,8000000,1981/1/1,木造,140,,8DK,208.45,,,,,,無し,無し,指定なし,海が目の前の物件です。,公営,,汲み取り式,,専用,専用,,,,空き有,800,3200,1900,3600,,3500,,,,,無し,無し
9006445,賃貸居住用,長崎県,平戸市,,,900,40000,1966/1/1,木造,160.64,,4DK,,,,,,,無し,無し,指定なし,1階に広い土間のある使い勝手の良い家です。駐車場あります。,公営,プロパン,汲み取り式,,専用,専用,,,,空き有,1100,3300,200,4500,,3500,,,,,無し,有り
9006446,売買居住用,長崎県,平戸市,,,100,5900000,1950/1/1,木造,81.3,,4DK,374.37,,,,,,無し,無し,指定なし,山林付きの平屋戸建物件です。,公営,プロパン,汲み取り式,室内,専用,専用,,,有り,空き有,4200,4500,5300,4700,,5000,,,,,無し,無し
9006447,売買居住用,長崎県,平戸市,,,1100,3900000,1977/1/1,木造,137.76,,5DK,901.75,,,,,,無し,無し,指定なし,海が眺める平屋戸建てです。離れ、倉庫もあります。,公営,プロパン,汲み取り式,室内,専用,専用,,,有り,空き有,800,2100,1200,1300,,1800,,,,,無し,無し
9006455,売買居住用,長崎県,平戸市,,,,5000000,1980/1/1,木造,106.9,,9DK,511.77,,,,,,無し,無し,指定なし,"海が見えるファミリー向けの物件です！物置や下屋があり、荷物の多い方にも安心です！
物件の最新情報は「平戸市役所　地域協働課（0950-22-9105）」までお問合せください。",,プロパン,汲み取り式,室内,専用,専用,,,有り,,240,2100,900,4200,,2400,,,,,無し,無し
9006456,賃貸居住用,長崎県,平戸市,,,,40000,,指定なし,131.7,,5DK,,,,,,,無し,無し,指定なし,日当たり良好！海近くの２階建て物件♪,公営,,その他,有,,専用,汲み取り式,IH,,空き有,500,4000,15000,3000,,3500,,100,,,無し,無し
9006458,売買居住用,長崎県,平戸市,,,1600,9800000,1968/1/1,木造,101.62,,4DK,678.09,,,,,,無し,無し,指定なし,高台にある平屋建。畑があるので家庭菜園もできます！庭から海を眺めることができます。,公営,,汲み取り式,室内,専用,専用,,IH,有り,空き有,950,1800,1500,1400,,1400,,,,,有り,無し
9006459,売買居住用,長崎県,平戸市,松浦鉄道西九州線,たびら平戸口,1500,15000000,1988/1/1,指定なし,142.72,,5DK,1222.62,,,,,,無し,無し,指定なし,日当たり良好な純和風の木造平屋造！駐車台数は複数台可能で駐車場兼倉庫付きです！,,,,,,,,,,空き有,2400,2700,1400,900,,2400,,,,,無し,無し
9006460,売買居住用,長崎県,平戸市,,,180,2000000,1967/1/1,木造,109.54,,5K,76.51,,,,,,無し,無し,指定なし,売買・賃貸物件です（賃貸の場合、2万円/月）。スーパーや郵便局まで徒歩5分！,公営,プロパン,汲み取り式,,,専用,,,,無,600,2300,450,400,,1900,,,,,無し,無し
9006461,売買居住用,長崎県,平戸市,,,1000,4000000,1979/1/1,木造,107.44,,4DK,532.22,,宅地,,,,無し,無し,指定なし,スーパーやコンビニ等が1キロ圏内にあります。,公営,プロパン,汲み取り式,,,,,,,空き有,1000,1500,750,850,,1400,,,,,無し,無し
9006462,売買居住用,長崎県,平戸市,松浦鉄道西九州線,たびら平戸口,7900,8600000,1991/1/1,鉄骨造,108.34,,4LDK,283.18,公簿,宅地,,,,無し,無し,指定なし,駐車場として利用できる雑種地も併せて売却します。,,,,,,,,,,空き有,1100,2400,1400,3000,,2900,,,,,無し,無し
9006463,売買居住用,長崎県,平戸市,,,130,3000000,1928/1/1,木造,289.23,,12K,204.93,,,,,,無し,無し,指定なし,,,,,,,,,,,空き有,650,2800,300,28,,3000,,,,,無し,無し
9006464,売買居住用,長崎県,平戸市,松浦鉄道西九州線,たびら平戸口,12000,6300000,1990/1/1,木造,,,7DK,720.01,,,,,,無し,無し,指定なし,山林に囲まれた家で落ち着いた雰囲気です。2階のベランダからは海を眺めることができます。,,,,,,,,,,空き有,4300,3900,2700,4200,,3800,,,,,無し,無し
9006465,売買居住用,長崎県,平戸市,,,,1000000,1964/1/1,指定なし,45.11,,4K,71.99,,,,,,無し,無し,指定なし,海近くの平屋一戸建て物件。玄関先からは薄香港を望むことが出来ます♪市街地まで車で5分程度と比較的利便性の良い地区です♪,公営,プロパン,汲み取り式,,専用,専用,,ガス,,,2200,1500,2200,2300,,2300,,,,,無し,無し
9006476,売買居住用,長崎県,平戸市,,,,1000000,,指定なし,33.05,,R,44.71,,,,,,無し,無し,指定なし,市街地に位置するアクセスのいい一戸建て。県外からの釣り人も多い白浜港近くにある物件です。,公営,プロパン,汲み取り式,,専用,専用,,,,無,756,2500,1100,1200,,1400,,,,,無し,無し
9006477,売買居住用,長崎県,平戸市,,,,5000000,1929/1/1,指定なし,165.23,,R,284.81,,,,,,無し,無し,指定なし,２～３世代など大家族での移住におススメ。十分な部屋数でゆったりとした居住空間。,公営,,汲み取り式,,,,,ガス,,無,786,3100,1100,200,,2600,,,,,無し,無し
9006478,売買居住用,長崎県,平戸市,,,,7000000,1980/1/1,指定なし,116.46,,5DK,274.38,,,,,,無し,無し,指定なし,日当たり良好！海近くの2階建て物件♪和風物件。,公営,プロパン,その他,室内,専用,専用,,ガス,,空き有,400,4500,14000,3000,,3800,,,,,無し,無し
9006479,売買居住用,長崎県,平戸市,,,200,14000000,1978/1/1,木造,,,5K,107.82,公簿,宅地,,,,無し,無し,指定なし,"利便の良い市街地にある2階建て住宅です！1階には店舗スペースがあります。オール電化物件です！
物件の最新情報は「平戸市役所　地域協働課（0950-22-9105）」までお問合せください。",公営,,汲み取り式,室内,専用,専用,,電気,,無,500,1500,400,150,,450,,,,,無し,有り
9006480,売買居住用,長崎県,平戸市,,,,4500000,1977/1/1,指定なし,101.38,,5DK,288.78,,,,,,無し,無し,指定なし,"木造平屋一戸建て。生活関連施設が比較的近くにあり、利便性の良い地域です。
物件の最新情報は「平戸市役所　地域協働課（0950-22-9105）」までお問合せください。",公営,,浄化槽,室内,専用,専用,,ガス,,空き有,350,1900,113000,500,,1400,,,,,無し,無し
9006481,売買居住用,長崎県,平戸市,,,,6000000,1974/1/1,指定なし,,,4DK,154.97,,,,,,無し,無し,指定なし,"ちょっとした家庭菜園も可能な庭付き一戸建ての家。
物件の最新情報は「平戸市役所　地域協働課（0950-22-9105）」までお問合せください。",公営,プロパン,その他,室内,専用,専用,,ガス,,,1200,2600,1300,3000,,2900,,,,,無し,無し
9006544,賃貸居住用,秋田県,雄勝郡羽後町,,,5,40000,1990/4/1,木造,141.15,,5DK,,,,,,,無し,無し,指定なし,西馬音内盆踊り会場すぐそば。 中学校まで歩いて5分以内の物件です。 病院やスーパーまで徒歩10分以内の立地にあります。日当たりがよく屋根の雪下ろしもいりません。,公営,プロパン,下水,室内,,,,ガス,有り,空き有,750,290,1200,500,1500,900,600,400,,,無し,無し
9006545,売買居住用,秋田県,雄勝郡羽後町,,,,1000000,1968/1/1,木造,163.63,,6K,917.56,,宅地,,,,無し,無し,指定なし,"まるでポツンと一軒家のような物件
隣の家との距離が離れており静かな環境です。
敷地が広く、家庭菜園が十分にできる広さです。",井戸,プロパン,汲み取り式,室内,,,,,有り,,7700,16900,16400,1800,1800,17900,,17400,,,無し,無し
9006546,賃貸居住用,秋田県,雄勝郡羽後町,JR奥羽本線,湯沢,8,40000,2001/1/1,木造,66.1,,1R,,,,,,,無し,無し,指定なし,"病院・スーパー徒歩圏内です。
コンパクトにまとまっています。 日当たりもよく、敷地内には2－3台ほどの駐車が可能です。",公営,,汲み取り式,室内,専用,専用,水洗式,IH,有り,,1200,1400,570,1070,400,630,500,800,,,無し,無し
9006548,売買居住用,秋田県,雄勝郡羽後町,JR奥羽本線,湯沢,4,2000000,,木造,256.46,,6K,,,,,,,無し,無し,指定なし,"築120年以上の古民家で梁なども昔のままです。
家庭菜園も可能です。",公営,プロパン,汲み取り式,室内,専用,専用,,,有り,空き有,3700,3700,3700,3600,3600,4000,,3600,,,無し,無し
9006549,売買居住用,秋田県,雄勝郡羽後町,JR奥羽本線,湯沢,2,,1983/1/1,木造,193.94,,6LDK,216.38,公簿,宅地,,,所有権,無し,無し,指定なし,"西馬音内盆踊り会場のすぐ近く。病院徒歩圏内
部屋数も多いためゲストハウスなど様々なことに利用できます。",公営,プロパン,下水,室内,,専用,,,,空き有,600,650,750,160,1000,500,140,240,,,無し,無し
9006551,賃貸居住用,秋田県,雄勝郡羽後町,JR奥羽本線,湯沢,3,40000,1978/1/1,木造,107.42,,5DK,,,,,,,無し,無し,指定なし,"日当たり良好
駐車2～3台可能
入居者によるDIY可能です",公営,プロパン,汲み取り式,室内,専用,専用,,,,空き有,1000,130013,170,700,160,500,550,850,,,無し,無し
9006552,賃貸居住用,秋田県,雄勝郡羽後町,JR奥羽本線,湯沢,5,35000,1964/1/1,木造,137.24,,6K,,,,,,,無し,無し,指定なし,小学校まで歩いて5分以内の物件です。 病院やスーパーまで徒歩10分以内の立地にあります。,公営,プロパン,汲み取り式,室内,専用,専用,,,有り,空き有,300,1000,900,600,850,400,,650,,,無し,無し
9006553,売買居住用,秋田県,雄勝郡羽後町,JR奥羽本線,湯沢,5,2500000,1964/1/1,木造,137.24,,6K,168.59,公簿,宅地,,,,無し,無し,指定なし,"小学校まで歩いてすぐの物件です。
病院やスーパーまで徒歩10分以内の立地です。",公営,,汲み取り式,室内,専用,専用,,,,,300,1000,900,600,850,400,,650,,,無し,無し
9006572,売買居住用,岐阜県,加茂郡川辺町,JR高山本線,下麻生,300,4000000,1964/1/1,木造,131.56,,R,214.11,,,,,,無し,無し,指定なし,　暮らしやすい平屋物件です。,,,,,,,,,,,300,3700,800,1000,,,,,,,無し,無し
9006587,売買居住用,福岡県,久留米市,西鉄甘木線,大城,9,18900000,1942/11/1,木造,175,,8K,1276,,,非線引区域,第一種低層住居専用地域,所有権,無し,無し,一方,農地付き空き家情報バンク　農地234㎡,,,,,,,,,,空き有,1024,1645,,,,,,,80,50,有り,無し
9006609,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,737.32,実測,宅地,,準工業地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006612,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,336.9,実測,宅地,,準工業地域,一時使用,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006613,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,111.79,公簿,宅地,,第二種住居地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006614,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,84.88,公簿,宅地,,第二種住居地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006615,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,44.64,公簿,宅地,,第二種住居地域,一時使用,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006616,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,138.52,公簿,宅地,,第二種住居地域,一時使用,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006617,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,776.83,公簿,田,,準住居地域,一時使用,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006618,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,973.46,公簿,宅地,,第一種住居地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006619,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,588.67,実測,宅地,,,一時使用,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006620,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,773.87,実測,宅地,,第一種中高層住居専用地域,一時使用,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006621,賃貸土地,兵庫県,尼崎市,,,,,,指定なし,,,R,256.44,実測,その他,,第一種住居地域,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006629,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,神村学園前,700,5000000,1949/1/1,木造,124.9,,4K,453.85,,,,,,無し,無し,指定なし,,公営,プロパン,,,,,,,,空き有,1300,2700,,,,,,,,,無し,無し
9006630,売買居住用,鹿児島県,いちき串木野市,,,,3000000,1951/1/1,木造,100.9,,5K,508,,,,,,無し,無し,指定なし,,公営,プロパン,浄化槽,,,,,,,空き有,400,500,,,,,,,,,無し,無し
9006631,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,100,3600000,1969/1/1,木造,93.13,,3SDK,132.27,,,,,,無し,無し,指定なし,"街中で銀行や商店・スーパーも近く便利。
お問い合わせ、内見・交渉をご希望の方は、A社にて対応いたします。",,,,,,,,,,空き有,750,1000,450,250,,,,150,200,80,無し,無し
9006632,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,神村学園前,,3000000,1950/1/1,木造,,,R,455.76,,,,,,無し,無し,指定なし,,,,,,,,,,,,,,,,,,,,,,無し,無し
9006633,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,神村学園前,900,700000,1978/1/1,木造,107.96,,5DK,428,,,,,,無し,無し,指定なし,"見晴らしの良い丘陵地に位置します。
お問い合わせ、内見をご希望の方は、エール不動産（電話0996-36-2288）にて対応します。",公営,プロパン,汲み取り式,,,,,,,空き有,1400,2900,900,,,,,,,,無し,無し
9006634,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,500,4800000,1979/9/1,木造,122.4,,5K,148.79,,宅地,,,,無し,無し,指定なし,"小学校、中学校とも300m以内、JR串木野駅も徒歩7分と近く便利。
物件詳細、内見、交渉等　お問い合わせは、G社にて対応いたします。",公営,プロパン,下水,,,,,,,空き有,300,250,600,700,,,,,,,無し,無し
9006636,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,湯之元,2100,1500000,1972/1/1,木造,140.58,,7DK,311.29,,,,,,無し,無し,指定なし,"要リフォーム物件。
お問い合わせ、内見・交渉をご希望の方は、エール不動産（電話）0996-36-2288にて対応いたします。",公営,プロパン,浄化槽,,,,,,,空き有,3200,3200,1000,1100,1000,,,,,,無し,無し
9006639,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,市来,1000,3500000,1971/1/1,木造,130.59,1,6K,291.72,,,,,,無し,無し,指定なし,お問い合わせ、内見・交渉をご希望の方は、C社にて対応いたします。,公営,プロパン,浄化槽,,,,,,,空き有,500,400,300,,,,,,200,60,無し,無し
9006640,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,神村学園前,500,1000000,1980/1/1,木造,61.03,,3K,187,,宅地,,,,無し,無し,指定なし,お問い合わせ、内見・交渉をご希望の方は、B社にて対応いたします。,公営,プロパン,汲み取り式,,,,,,,,1000,2500,600,1300,,,,,,,無し,無し
9006642,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,1000,20000000,1992/1/1,木造,183,,5LDK,231,,,,,,無し,無し,指定なし,"街中で、市役所近く。
お問い合わせ、内見・交渉をご希望の方は、エール不動産（電話）0996-36-2288にて対応いたします。",公営,プロパン,下水,,,,,,,空き有,760,1000,,,,,,,200,60,無し,無し
9006644,賃貸居住用,鹿児島県,いちき串木野市,JR鹿児島本線,市来,,60000,1955/1/1,木造,140.49,,6LDK,,,,,,,無し,無し,指定なし,お問い合わせ、内見・交渉をご希望の方は、C社にて対応いたします。,公営,,浄化槽,,,,,IH,,近隣,1100,1100,,,,,,,,,無し,無し
9006645,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,200,1500000,1948/1/1,木造,99.81,,5DK,108.29,,,,,,無し,無し,指定なし,お問い合わせ、内見・交渉をご希望の方は、C社にて対応いたします。,公営,プロパン,下水,,,,,,,空き有,1500,1000,500,,,,,,200,60,無し,無し
9006647,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,1000,4500000,1967/1/1,木造,81.49,,3LDK,160.15,,,,,,無し,無し,指定なし,"街中で商店や病院、金融機関に近く便利。
お問い合わせ、内見・交渉をご希望の方は、A社にて対応いたします。",公営,プロパン,下水,,,,,,,空き有,1100,1600,,200,,,,100,,,無し,無し
9006649,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,1000,14800000,2011/2/1,木造,130.86,1,5DK,337.16,,,,,,無し,無し,指定なし,お問い合わせ、内見・交渉をご希望の方は、エール不動産（電話）０９９６－３６－２２８８へ、内部はエール不動産ホームページhttps//aile-estate.com/uriya/uriya-8911/,公営,プロパン,浄化槽,,,,,,,空き有,750,860,,,,,,,,,無し,無し
9006650,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,500,1500000,1978/1/1,木造,100.37,1,5DK,117.37,,,,,,無し,無し,指定なし,"港にも近く釣り好きにも注目。
お問い合わせ、内見・交渉をご希望の方は、C社にて対応いたします。",公営,プロパン,,,,,,,,空き有,1400,2200,1100,1000,,,,,,,無し,無し
9006651,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,,6500000,1992/1/1,木造,107.84,,4LDK,244,,,,,,無し,無し,指定なし,"閑静で南に開けた丘陵地に立地。
お問い合わせ・内見をご希望の方は、エール不動産（電話 0996-36-2288）にて対応します。",公営,プロパン,浄化槽,,,,,,,空き有,2500,700,1100,1500,,,,,,,無し,無し
9006652,売買居住用,鹿児島県,いちき串木野市,,,,3000000,1967/1/1,木造,93.28,,7K,84.42,,,,,,無し,無し,指定なし,"羽島小学校、羽島中学校、郵便局にも近い。
お問い合わせ、内見をご希望の方は、エール不動産（電話0996-36-2288）へお問い合わせください。",,プロパン,,,,,,,,近隣,200,500,,,,,,,,,無し,無し
9006653,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,80,2500000,1962/1/1,木造,70.77,,4K,99.4,,宅地,,,,無し,無し,指定なし,物件詳細、内見、交渉等お問い合わせは、B社にて対応いたします。,公営,プロパン,浄化槽,,,,,,,,1200,2000,900,400,,,,,,,無し,無し
9006655,売買居住用,鹿児島県,いちき串木野市,JR鹿児島本線,串木野,900,5800000,1951/1/1,木造,119.71,,6K,241.34,,宅地,,,,無し,無し,指定なし,"街中で商店や病院、金融機関に近く便利。
お問い合わせ、内見・交渉をご希望の方は、A社にて対応いたします。",公営,プロパン,下水,,,,,,,空き有,1000,16000,700,200,,,,200,,,無し,無し
9006667,売買居住用,鹿児島県,いちき串木野市,,,,4900000,1981/1/1,指定なし,119,,R,138,,,,,,無し,無し,指定なし,"街中に所在しており、普段の買い物や交通に便利です。
部屋数も多く、家族での居住に適しています。
お問い合わせ・内見をご希望の方は、B社にて対応します。",,,,,,,,,,,800,1000,,300,,,,,,,無し,無し
9006706,賃貸居住用,鹿児島県,いちき串木野市,,,,45000,1969/1/1,木造,,,4K,,,,,,,無し,無し,指定なし,街中物件、市役所や市民文化センター、消防署など公共施設に近く安心して暮らせます。,,,,,,,,,,,1300,1400,500,900,,,,,,,無し,無し
9006716,売買土地,栃木県,芳賀郡益子町,真岡鐵道,七井,3000,1400000,,指定なし,,,R,230,,山林,非線引区域,,所有権,無し,無し,指定なし,,,,,,,,,,,,2500,3900,,,,1500,,,200,60,無し,無し
9006717,売買土地,栃木県,芳賀郡益子町,真岡鐵道,七井,3000,2000000,,指定なし,,,R,331,,山林,,,所有権,無し,無し,指定なし,,,,,,,,,,,,2500,3900,,,,1500,,,200,60,無し,無し
9006718,売買土地,栃木県,芳賀郡益子町,真岡鐵道,七井,2700,1500000,,指定なし,,,R,417,,山林,非線引区域,,所有権,無し,無し,指定なし,,,,,,,,,,,,3400,4600,,,,1700,,,200,60,無し,無し
9006719,売買事業用,栃木県,芳賀郡益子町,真岡鐵道,益子,500,20000000,,木造,136.22,,R,1846.72,,,,,,無し,無し,指定なし,,,プロパン,浄化槽,,,専用,,,有り,,1400,1800,,,,,,,,,無し,無し
9006720,売買土地,栃木県,芳賀郡益子町,真岡鐵道,益子,2200,8300000,,指定なし,,,R,722.07,,宅地,非線引区域,,所有権,無し,無し,指定なし,,,,,,,,,,,,700,2100,,,,1000,,,200,60,無し,無し
9006723,売買土地,栃木県,芳賀郡益子町,真岡鐵道,益子,5200,4500000,,指定なし,,,R,747,,宅地,非線引区域,,,無し,無し,指定なし,"居住区域は里山のひろがる地域で、のんびり過ごせます。

日当たりも良く、県道沿いの土地のため、お車での移動もしやすい立地です。",,,,,,,,,,,1800,1600,,,,2100,,,200,60,無し,無し
9006724,賃貸居住用,栃木県,芳賀郡益子町,,,,33000,,指定なし,,,2K,,,,,,,無し,無し,指定なし,スーパーや郵便局、バス停も近く、生活利便性が高いアパートです。内装リフォーム済。,公営,プロパン,下水,,専用,専用,,ガス,,,300,1000,,,,1800,,,,,無し,無し
9006725,賃貸居住用,栃木県,芳賀郡益子町,,,,33000,1987/1/1,木造,,,2K,,,,,,,無し,無し,指定なし,スーパーや郵便局、バス停も近く、生活利便性が高いアパートです。内装リフォーム済。,公営,プロパン,下水,,,専用,,ガス,,,300,1000,,,,1800,,,,,無し,無し
9006726,売買土地,栃木県,芳賀郡益子町,真岡鐵道,益子,4500,2000000,,指定なし,,,R,231,,雑種地,非線引区域,,,無し,無し,指定なし,表通りは交通量が多いですが、居住区域は閑静な住宅地です。,,,,,,,,,,,3000,4300,,,,1800,,,200,60,無し,無し
9006727,売買土地,栃木県,芳賀郡益子町,,,,6000000,,指定なし,,,R,324.53,,宅地,非線引区域,,,無し,無し,指定なし,表通りは交通量が多いですが、居住区域は閑静な住宅地です。特に陶器市やイベント期間中は多くの観光客で賑わいます。,,,,,,,,,,,1200,1400,,,,1300,,,200,60,無し,無し
9006728,賃貸土地,栃木県,芳賀郡益子町,,,,280000,,指定なし,,,R,180,,宅地,非線引区域,近隣商業地域,,無し,無し,指定なし,商店が並ぶ通りに面しています。通りは交通量が多く、特に陶器市やイベント期間中は多くの観光客で賑わいます。,,,,,,,,,,,800,1300,,,,200,,,200,80,無し,無し
9006731,売買土地,栃木県,芳賀郡益子町,真岡鐵道,七井,800,18000000,,指定なし,,,R,889.99,,宅地,非線引区域,第一種住居地域,,無し,無し,指定なし,幹線道路から一本外れた閑静な場所。コンビニ、スーパー等の生活利便施設も徒歩圏内です。,,,,,,,,,,,700,200,,,,,,,,,無し,無し
